Name,Markers
Train 26.wav,"1.064, 2.426, 1, 3.021, 4.200, 2, 5.917, 7.154, 1, 8.069, 9.443, 2, 11.103, 12.556, 1, 13.312, 14.869, 2, 16.402, 17.856, 1, 18.669, 19.928, 2, 21.416, 22.469, 1, 23.200, 24.160, 2, 25.445, 26.730, 1, 27.283, 28.365, 2, 30.081, 31.300, 1, 31.666, 32.715, 2, 35.741, 37.123, 1, 37.424, 38.497, 2, 40.140, 41.425, 1, 42.019, 43.043, 2, 45.003, 46.020, 1, 46.687, 47.435, 2, 49.460, 50.411, 1, 51.168, 52.208, 2, 54.128, 55.242, 1, 55.892, 56.567, 2, 59.919, 61.756, 1, 62.438, 64.535, 2"
Train 27.WAV,"4.350, 5.838, 1, 6.289, 7.750, 2, 9.384, 10.571, 1, 11.564, 12.653, 2, 14.524, 15.589, 1, 16.809, 17.663, 2, 19.419, 20.509, 1, 21.574, 22.867, 2, 24.299, 25.543, 1, 26.267, 27.511, 2, 29.446, 30.447, 1, 31.284, 32.358, 2, 33.976, 35.098, 1, 35.796, 36.777, 2, 38.621, 39.663, 1, 40.562, 41.354, 2, 43.140, 44.141, 1, 45.217, 46.403, 2, 47.987, 49.063, 1, 49.580, 50.458, 2, 52.207, 53.211, 1, 53.910, 54.857, 2, 57.192, 58.492, 1, 59.098, 60.381, 2, 61.964, 63.067, 1, 63.790, 64.812, 2, 66.095, 67.233, 1, 68.025, 69.290, 2"
Train 28.WAV,"0.149, 1.656, 1, 2.281, 3.924, 2, 4.685, 6.043, 1, 6.532, 7.523, 2, 8.596, 9.737, 1, 10.660, 11.543, 2, 12.670, 13.620, 1, 14.462, 15.888, 2, 16.812, 17.749, 1, 18.591, 20.139, 2, 20.913, 21.782, 1, 22.950, 24.620, 2, 25.653, 26.834, 1, 27.595, 29.387, 2, 30.311, 31.669, 1, 32.728, 34.643, 2, 35.362, 36.490, 1, 37.101, 38.771, 2, 39.572, 40.469, 1, 41.433, 42.818, 2, 43.741, 44.665, 1, 45.357, 46.729, 2, 47.340, 48.630, 1, 49.173, 50.246, 2, 51.247, 52.244, 1, 53.122, 54.096, 2, 55.100, 56.436, 1, 56.908, 57.872, 2, 58.871, 60.044, 1, 60.492, 61.384, 2"
Train 29.WAV,"0.435, 1.645, 1, 2.208, 3.271, 2, 4.584, 5.319, 1, 6.062, 6.764, 2, 8.418, 9.358, 1, 10.007, 10.639, 2, 12.745, 13.541, 1, 14.095, 15.822, 2, 17.013, 17.867, 1, 18.754, 19.677, 2, 21.615, 22.793, 1, 23.913, 24.993, 2, 26.290, 27.292, 1, 28.802, 29.878, 2, 30.969, 32.176, 1, 32.948, 33.789, 2, 35.103, 36.067, 1, 36.917, 37.672, 2, 39.269, 40.086, 1, 41.087, 41.937, 2, 43.234, 44.178, 1, 45.024, 46.083, 2, 47.158, 48.271, 1, 49.625, 50.639, 2, 51.842, 52.864, 1, 53.997, 55.056, 2, 56.583, 57.674, 1, 58.491, 59.476, 2, 61.065, 62.432, 1, 63.138, 64.386, 2"
Train 30.wav,"0.570, 1.559, 1, 2.122, 3.078, 2, 3.989, 4.781, 1, 5.557, 6.263, 2, 7.277, 7.991, 1, 8.759, 9.469, 2, 10.442, 11.484, 1, 12.207, 13.237, 2, 14.029, 14.904, 1, 15.601, 16.513, 2, 17.284, 18.290, 1, 18.955, 19.883, 2, 20.617, 21.623, 1, 22.358, 23.080, 2, 24.004, 24.960, 1, 25.744, 26.573, 2, 27.396, 28.406, 1, 29.999, 31.978, 2, 33.018, 34.359, 1, 34.844, 36.109, 2, 36.918, 37.831, 1, 38.316, 39.316, 2, 40.333, 43.106, 1, 44.181, 48.098, 2, 48.918, 49.958, 1, 50.611, 51.870, 2, 53.014, 54.147, 1, 55.302, 57.301, 2, 58.122, 60.109, 1, 60.860, 63.125, 2, 64.096, 64.899, 1, 65.442, 66.309, 2, 67.123, 67.973, 1, 68.441, 69.550, 2, 70.226, 71.745, 1, 72.583, 74.178, 2"
Train 31.WAV,"0.504, 1.814, 1, 2.316, 3.218, 2, 5.147, 6.268, 1, 7.892, 8.729, 2, 10.422, 11.491, 1, 12.866, 14.149, 2, 15.738, 16.951, 1, 18.245, 19.216, 2, 20.724, 21.573, 1, 22.520, 23.254, 2, 24.976, 25.987, 1, 27.050, 27.807, 2, 30.153, 31.089, 1, 31.897, 32.689, 2, 34.815, 35.740, 1, 36.525, 37.247, 2, 39.096, 39.986, 1, 40.945, 41.800, 2, 44.013, 45.065, 1, 45.868, 46.665, 2, 48.075, 51.050, 1, 51.668, 54.262, 2, 56.053, 57.521, 1, 58.151, 58.850, 2"
Train 32.WAV,"0.483, 1.691, 1, 2.287, 3.399, 2, 4.317, 5.091, 1, 6.009, 6.831, 2, 7.701, 8.620, 1, 9.417, 10.506, 2, 11.255, 12.011, 1, 12.783, 13.686, 2, 15.012, 15.776, 1, 16.378, 17.256, 2, 18.403, 19.102, 1, 19.956, 20.867, 2, 21.851, 22.615, 1, 23.510, 24.396, 2, 25.502, 26.193, 1, 27.007, 27.901, 2, 28.682, 29.381, 1, 30.064, 30.943, 2, 31.707, 32.545, 1, 33.342, 34.155, 2, 34.862, 35.554, 1, 36.448, 37.188, 2, 37.977, 39.124, 1, 39.717, 40.840, 2, 41.482, 42.255, 1, 42.799, 43.808, 2, 44.450, 45.475, 1, 45.979, 46.996, 2, 48.126, 48.825, 1, 49.460, 50.240, 2, 51.046, 51.607, 1, 52.509, 53.339, 2, 54.079, 54.941, 1, 55.502, 56.388, 2, 57.202, 58.088, 1, 58.730, 59.649, 2, 60.463, 61.642, 1, 62.138, 63.195, 2, 63.699, 64.675, 1, 65.472, 66.586, 2"
Train 33.WAV,"0.040, 1.323, 1, 2.074, 3.853, 2, 4.858, 5.858, 1, 6.528, 7.545, 2, 8.747, 9.596, 1, 10.359, 11.254, 2, 13.011, 13.767, 1, 14.524, 15.264, 2, 18.320, 19.019, 1, 19.701, 20.475, 2, 21.925, 22.665, 1, 23.156, 23.786, 2, 25.172, 25.808, 1, 26.316, 26.848, 2, 28.252, 28.789, 1, 29.407, 29.956, 2, 31.198, 31.851, 1, 32.354, 32.949, 2, 35.867, 36.658, 1, 37.282, 37.970, 2, 39.732, 40.460, 1, 41.407, 42.072, 2, 44.248, 44.929, 1, 45.389, 45.968, 2, 48.119, 49.145, 1, 50.237, 51.439, 2, 52.166, 53.599, 1, 54.337, 55.347, 2, 56.267, 57.486, 1, 57.982, 58.590, 2"
Train 34.wav,"0.331, 1.087, 1, 1.728, 2.573, 2, 3.547, 4.385, 1, 4.841, 5.714, 2, 6.967, 8.025, 1, 8.389, 9.417, 2, 10.422, 11.537, 1, 11.948, 13.051, 2, 15.021, 15.639, 1, 16.165, 17.032, 2, 18.615, 19.210, 1, 19.834, 20.556, 2, 22.174, 23.410, 1, 23.555, 24.439, 2, 25.340, 26.155, 1, 26.755, 27.524, 2, 28.691, 29.402, 1, 29.974, 30.725, 2, 31.840, 32.383, 1, 33.047, 33.723, 2, 35.069, 35.584, 1, 36.323, 36.883, 2, 38.218, 38.859, 1, 39.431, 40.136, 2, 41.234, 42.262, 1, 42.736, 43.689, 2"
Train 35.WAV,"0.439, 1.461, 1, 1.999, 3.570, 2, 4.298, 5.546, 1, 6.990, 8.672, 2, 12.138, 13.658, 1, 14.345, 16.177, 2, 16.986, 19.025, 1, 19.568, 21.278, 2, 22.174, 23.532, 1, 24.277, 25.496, 2, 26.698, 27.980, 1, 28.333, 29.246, 2, 34.865, 36.035, 1, 36.724, 37.582, 2, 38.735, 39.859, 1, 40.156, 41.440, 2, 42.126, 43.041, 1, 43.308, 44.856, 2, 45.471, 46.350, 1, 46.571, 47.782, 2"
Train 36.WAV,"0.173, 1.328, 1, 1.733, 3.304, 2, 4.448, 5.690, 1, 6.805, 8.429, 2, 9.960, 11.693, 1, 13.317, 15.709, 2, 16.373, 17.870, 1, 19.505, 21.486, 2, 21.972, 24.860, 1, 26.420, 30.141, 2, 31.210, 32.620, 1, 33.371, 35.116, 2, 36.548, 37.906, 1, 38.640, 40.182, 2, 41.321, 42.488, 1, 43.256, 44.822, 2, 46.006, 47.248, 1, 47.901, 49.525, 2, 50.553, 54.338, 1, 58.162, 61.999, 2, 64.373, 65.904, 1, 66.632, 67.949, 2, 69.706, 71.768, 1, 72.283, 74.178, 2"
Train 37_.WAV,"0.422, 1.411, 1, 1.878, 2.866, 2, 4.073, 4.963, 1, 5.771, 6.800, 2, 8.037, 9.005, 1, 9.635, 10.652, 2, 11.752, 12.851, 1, 13.513, 14.540, 2, 16.205, 17.170, 1, 18.124, 19.057, 2, 20.255, 21.119, 1, 21.877, 22.664, 2, 24.137, 24.912, 1, 25.694, 26.531, 2, 27.680, 28.397, 1, 29.112, 29.887, 2, 30.958, 31.669, 1, 32.273, 33.127, 2, 34.431, 35.469, 1, 35.892, 36.848, 2, 37.849, 38.945, 1, 39.295, 40.310, 2, 41.051, 42.086, 1, 43.074, 44.168, 2"
Train 38.WAV,"0.034, 1.097, 1, 1.490, 2.558, 2, 3.946, 5.240, 1, 6.580, 7.770, 2, 9.405, 10.711, 1, 11.352, 12.537, 2, 14.172, 15.310, 1, 15.813, 16.905, 2, 18.372, 19.476, 1, 19.903, 20.885, 2, 22.266, 23.254, 1, 23.867, 24.872, 2, 26.178, 27.108, 1, 27.599, 28.500, 2, 30.002, 31.048, 1, 31.516, 32.469, 2, 33.810, 34.827, 1, 35.260, 36.057, 2, 37.635, 38.779, 1, 39.131, 40.159, 2, 41.142, 42.268, 1, 42.673, 43.609, 2"
Train 39.WAV,"0.629, 1.635, 1, 2.108, 3.137, 2, 4.344, 5.286, 1, 5.714, 6.707, 2, 7.973, 9.556, 1, 9.931, 11.237, 2, 12.017, 13.132, 1, 13.583, 14.634, 2, 15.992, 16.980, 1, 17.506, 18.366, 2, 19.470, 20.446, 1, 21.065, 21.902, 2, 23.254, 24.144, 1, 24.612, 25.427, 2, 26.767, 27.894, 1, 28.315, 29.251, 2, 30.239, 31.169, 1, 31.672, 32.493, 2, 33.995, 35.260, 1, 36.467, 38.091, 2, 39.368, 40.598, 1, 41.494, 42.794, 2, 43.863, 47.352, 1, 48.612, 49.802, 2"
Train 40.WAV,"0.092, 0.993, 1, 1.305, 2.062, 2, 3.021, 4.009, 1, 4.333, 5.188, 2, 6.054, 7.476, 1, 8.175, 9.319, 2, 10.226, 11.589, 1, 12.346, 13.149, 2, 14.825, 16.125, 1, 16.697, 17.610, 2, 20.637, 21.694, 1, 22.214, 22.942, 2, 24.531, 25.571, 1, 26.143, 26.946, 2, 28.223, 29.211, 1, 29.685, 30.441, 2, 31.557, 32.568, 1, 33.221, 33.954, 2, 35.162, 36.075, 1, 36.600, 37.427, 2, 38.357, 39.426, 1, 39.986, 40.853, 2, 41.656, 42.904, 1, 43.250, 44.134, 2, 45.041, 46.041, 1, 46.393, 47.104, 2, 48.052, 48.976, 1, 49.392, 50.103, 2, 51.171, 52.026, 1, 52.500, 53.182, 2, 54.442, 55.175, 1, 55.747, 56.354, 2, 57.706, 59.231, 1, 59.532, 60.791, 2"
Train 41.WAV,"0.063, 1.288, 1, 1.808, 3.154, 2, 3.801, 5.020, 1, 5.355, 6.977, 2, 7.912, 9.091, 1, 9.465, 11.482, 2, 12.247, 13.662, 1, 13.906, 15.726, 2, 16.685, 17.737, 1, 18.014, 19.851, 2, 20.672, 21.948, 1, 22.122, 24.115, 2, 24.803, 25.785, 1, 26.051, 27.668, 2, 28.841, 29.864, 1, 30.286, 31.949, 2, 32.857, 33.717, 1, 34.197, 35.612, 2, 37.115, 37.987, 1, 38.264, 39.940, 2, 41.032, 41.887, 1, 42.176, 43.476, 2, 44.556, 45.567, 1, 46.382, 47.283, 2"
